id;x;y;z;depth_;date_;comments
Collar_1;4710909.39750999;2238313.72018;1585;30;45858;Topo
Collar_2;4710900.09953;2238315.99807;1585;30;45858;Topo
Collar_3;4710887.31348;2238309.26207999;1585;30;45858;Topo
Collar_4;4710893.45507;2238303.03472999;1585;30;45858;Topo
Collar_5;4710884.35683999;2238294.74478999;1585;30;45858;Topo
Collar_6;4710896.87105999;2238288.16643;1585;30;45858;Topo
Collar_7;4710891.64319;2238287.02582;1585;30;45858;Topo
Collar_8;4710877.85321;2238292.06264;1585;30;45858;Topo
Collar_9;4710885.01279999;2238311.16698999;1585;30;45858;Topo
Collar_10;4710878.00224999;2238314.44323999;1585;30;45858;Topo
Collar_11;4710873.37215;2238308.31921999;1585;30;45858;Topo
Collar_12;4710868.51596;2238308.23003;1585;30;45858;Topo
Collar_13;4710866.11295999;2238314.87618;1585;30;45858;Topo
Collar_14;4710871.48866999;2238318.32311999;1585;30;45858;Topo
Collar_15;4710867.92042999;2238322.15775999;1585;30;45858;Topo
Collar_16;4710856.01370999;2238322.22977;1585;30;45858;Topo
Collar_17;4710846.18427999;2238333.22659;1585;30;45858;Topo
Collar_18;4710830.49760999;2238333.24693999;1585;30;45858;Topo
Collar_19;4710838.95031999;2238347.67894;1585;30;45858;Topo
Collar_20;4710821.40063;2238366.51419;1585;30;45858;Topo
Collar_21;4710823.38167999;2238370.52051999;1585;30;45858;Topo
Collar_22;4710842.07567999;2238358.15267999;1585;30;45858;Topo
Collar_23;4710854.09518999;2238370.86598999;1585;30;45858;Topo
Collar_24;4710853.26496999;2238371.75065999;1585;30;45858;Topo
Collar_25;4710824.96286999;2238375.61451;1585;30;45858;Topo
Collar_26;4710854.0136;2238371.06813;1585;30;45858;Topo
Collar_27;4710853.48187;2238371.61714;1585;30;45858;Topo
Collar_28;4710888.44440999;2238336.89977;1585;30;45858;Topo
Collar_29;4710876.13382999;2238331.81681999;1585;30;45858;Topo
Collar_30;4710884.62873999;2238322.06595;1585;30;45858;Topo
Collar_31;4710890.20205;2238334.79436999;1585;30;45858;Topo
Collar_32;4710905.77245999;2238282.45275999;1586;30;45858;Topo
Collar_33;4710894.99791;2238280.24716999;1586;30;45858;Topo
Collar_34;4710894.12303;2238283.8269;1586;30;45858;Topo
Collar_35;4710884.99464;2238285.01917;1586;30;45858;Topo
Collar_36;4710865.14840999;2238279.11422999;1586;30;45858;Topo
Collar_37;4710857.65307;2238293.663;1586;30;45858;Topo
Collar_38;4710852.75643999;2238295.53566;1586;30;45858;Topo
Collar_39;4710839.34212;2238289.71962;1586;30;45858;Topo
Collar_40;4710833.30953999;2238280.84905999;1586;30;45858;Topo
Collar_41;4710818.97274999;2238271.22594999;1586;30;45858;Topo
Collar_42;4710798.60335;2238293.94962;1586;30;45858;Topo
Collar_43;4710785.64037;2238295.22122;1586;30;45858;Topo
Collar_44;4710793.59346999;2238308.43109;1586;30;45858;Topo
Collar_45;4710792.86864;2238314.76648999;1586;30;45858;Topo
Collar_46;4710801.05767999;2238320.72665;1586;30;45858;Topo
Collar_47;4710783.59539999;2238362.75853999;1586;30;45858;Topo
Collar_48;4710907.10640999;2238293.36445;1586;30;45858;Topo
Collar_49;4710896.59501;2238300.66337999;1586;30;45858;Topo
Collar_50;4710893.71922999;2238299.11716999;1586;30;45858;Topo
Collar_51;4710895.09879999;2238292.78885;1586;30;45858;Topo
Collar_52;4710906.34148999;2238285.97208999;1586;30;45858;Topo
Collar_53;4710913.82852999;2238279.99759999;1586;30;45858;Topo
Collar_54;4710919.06503999;2238271.73702999;1586;30;45858;Topo
Collar_55;4710912.29934;2238277.72616;1586;30;45858;Topo
Collar_56;4710947.67564999;2238327.82213999;1586;30;45858;Topo
Collar_57;4710944.67260999;2238326.28048999;1586;30;45858;Topo
Collar_58;4710908.43965;2238274.63061999;1587;30;45858;Topo
Collar_59;4710911.32387;2238269.25785;1587;30;45858;Topo
Collar_60;4710901.44170999;2238266.16416;1587;30;45858;Topo
Collar_61;4710893.71212;2238274.12869999;1587;30;45858;Topo
Collar_62;4710890.59987;2238270.00747;1587;30;45858;Topo
Collar_63;4710886.79598999;2238275.08954;1587;30;45858;Topo
Collar_64;4710871.86692999;2238270.85106999;1587;30;45858;Topo
Collar_65;4710846.57567999;2238283.19200999;1587;30;45858;Topo
Collar_66;4710819.96456;2238269.05800999;1587;30;45858;Topo
Collar_67;4710796.83506;2238292.56025;1587;30;45858;Topo
Collar_68;4710780.35298999;2238273.85065999;1587;30;45858;Topo
Collar_69;4710764.55515;2238267.09573999;1587;30;45858;Topo
Collar_70;4710758.65687;2238270.66730999;1587;30;45858;Topo
Collar_71;4710753.21124999;2238282.67756;1587;30;45858;Topo
Collar_72;4710758.66062;2238282.58858;1587;30;45858;Topo
Collar_73;4710763.07000999;2238286.76317999;1587;30;45858;Topo
Collar_74;4710757.90588;2238299.07911999;1587;30;45858;Topo
Collar_75;4710758.80319;2238333.77534;1587;30;45858;Topo
Collar_76;4710765.91401;2238339.5594;1587;30;45858;Topo
