hole_id;from_;to_;code;comments
Collar_1;0;30;500;Topografia
Collar_2;0;30;500;Topografia
Collar_3;0;30;500;Topografia
Collar_4;0;30;500;Topografia
Collar_5;0;30;500;Topografia
Collar_6;0;30;500;Topografia
Collar_7;0;30;500;Topografia
Collar_8;0;30;500;Topografia
Collar_9;0;30;500;Topografia
Collar_10;0;30;500;Topografia
Collar_11;0;30;500;Topografia
Collar_12;0;30;500;Topografia
Collar_13;0;30;500;Topografia
Collar_14;0;30;500;Topografia
Collar_15;0;30;500;Topografia
Collar_16;0;30;500;Topografia
Collar_17;0;30;500;Topografia
Collar_18;0;30;500;Topografia
Collar_19;0;30;500;Topografia
Collar_20;0;30;500;Topografia
Collar_21;0;30;500;Topografia
Collar_22;0;30;500;Topografia
Collar_23;0;30;500;Topografia
Collar_24;0;30;500;Topografia
Collar_25;0;30;500;Topografia
Collar_26;0;30;500;Topografia
Collar_27;0;30;500;Topografia
Collar_28;0;30;500;Topografia
Collar_29;0;30;500;Topografia
Collar_30;0;30;500;Topografia
Collar_31;0;30;500;Topografia
Collar_32;0;30;500;Topografia
Collar_33;0;30;500;Topografia
Collar_34;0;30;500;Topografia
Collar_35;0;30;500;Topografia
Collar_36;0;30;500;Topografia
Collar_37;0;30;500;Topografia
Collar_38;0;30;500;Topografia
Collar_39;0;30;500;Topografia
Collar_40;0;30;500;Topografia
Collar_41;0;30;500;Topografia
Collar_42;0;30;500;Topografia
Collar_43;0;30;500;Topografia
Collar_44;0;30;500;Topografia
Collar_45;0;30;500;Topografia
Collar_46;0;30;500;Topografia
Collar_47;0;30;500;Topografia
Collar_48;0;30;500;Topografia
Collar_49;0;30;500;Topografia
Collar_50;0;30;500;Topografia
Collar_51;0;30;500;Topografia
Collar_52;0;30;500;Topografia
Collar_53;0;30;500;Topografia
Collar_54;0;30;500;Topografia
Collar_55;0;30;500;Topografia
Collar_56;0;30;500;Topografia
Collar_57;0;30;500;Topografia
Collar_58;0;30;500;Topografia
Collar_59;0;30;500;Topografia
Collar_60;0;30;500;Topografia
Collar_61;0;30;500;Topografia
Collar_62;0;30;500;Topografia
Collar_63;0;30;500;Topografia
Collar_64;0;30;500;Topografia
Collar_65;0;30;500;Topografia
Collar_66;0;30;500;Topografia
Collar_67;0;30;500;Topografia
Collar_68;0;30;500;Topografia
Collar_69;0;30;500;Topografia
Collar_70;0;30;500;Topografia
Collar_71;0;30;500;Topografia
Collar_72;0;30;500;Topografia
Collar_73;0;30;500;Topografia
Collar_74;0;30;500;Topografia
Collar_75;0;30;500;Topografia
Collar_76;0;30;500;Topografia
Collar_77;0;30;500;Topografia
Collar_78;0;30;500;Topografia
Collar_79;0;30;500;Topografia
